,usage_total,usage_total,usage_total,age_days,age_days,age_days,since_update_days,since_update_days,since_update_days,usage_per_365,usage_per_365,usage_per_365,staleness_ratio,staleness_ratio,staleness_ratio,usage_total,usage_total,age_days,age_days,since_update_days,since_update_days,usage_per_365,usage_per_365,staleness_ratio,staleness_ratio
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,q25,q75,q25,q75,q25,q75,q25,q75,q25,q75
cluster,,,,,,,,,,,,,,,,,,,,,,,,,
0,24.52,16.0,24.14,823.1,756.0,425.79,814.7,755.0,431.63,14.17,9.55,16.81,0.98,0.99,0.06,6.0,36.0,487.0,1046.0,482.0,1042.0,2.29,19.36,0.99,1.0
1,2226.52,620.0,6885.97,238.48,239.0,112.37,115.1,111.0,51.85,4716.52,1049.14,27644.59,0.5,0.47,0.2,297.0,1389.0,166.0,320.0,104.0,113.0,496.34,2470.67,0.36,0.64
2,999.14,514.0,2164.78,2206.08,2164.0,404.51,2173.73,2162.0,350.47,163.07,89.76,338.79,0.99,1.0,0.03,400.0,795.0,1864.0,2497.0,1861.0,2491.0,66.74,124.28,1.0,1.0
3,42.68,30.0,37.94,294.11,284.0,180.6,131.78,111.0,73.72,72.08,44.9,94.01,0.47,0.43,0.18,16.0,57.0,197.0,356.0,111.0,113.0,20.85,95.59,0.35,0.58
4,23.24,6.0,42.66,3435.14,3399.0,361.71,2678.14,2679.0,17.76,2.44,0.61,4.26,0.79,0.79,0.08,0.0,26.0,3119.0,3739.0,2679.0,2679.0,0.0,2.82,0.72,0.86
5,1576.4,526.5,4688.97,935.42,929.0,399.41,929.34,923.0,401.82,706.62,216.07,2232.29,0.99,0.99,0.03,318.0,1233.0,590.0,1291.0,587.0,1287.0,118.16,575.67,0.99,1.0
