OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1273230,15,Purcells Cove,5,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273231,18,Universities,23,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273232,21,Lakeside - Timberlea,11,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273233,320,Airport - Fall River Regi,11,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273234,4,Rosedale,35,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273235,51,Windmill,28,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273236,52,Crosstown,103,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273237,54,Montebello,13,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273238,55,Port Wallace,6,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273239,57,Russell Lake,2,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273240,58,Woodlawn,19,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273241,62,Wildwood,5,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273242,65,Caldwell,3,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273243,66,Penhorn,7,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273244,72,Portland Hills,23,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273245,80,Sackville,53,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273246,88,Bedford Commons,2,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273247,90,Larry Uteck,21,13.00,1:00pm to 1:29pm,2017-12-26 10:00:00.0000000
1273248,10,Dalhousie,71,13.50,1:30pm to 1:59pm,2017-12-26 10:00:00.0000000
1273249,14,Leiblin Park,31,13.50,1:30pm to 1:59pm,2017-12-26 10:00:00.0000000
1273250,15,Purcells Cove,2,13.50,1:30pm to 1:59pm,2017-12-26 10:00:00.0000000
1273251,21,Lakeside - Timberlea,7,13.50,1:30pm to 1:59pm,2017-12-26 10:00:00.0000000
1273252,29,Barrington,59,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273253,4,Rosedale,48,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273254,400,Beaver Bank,4,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273255,52,Crosstown,171,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273256,57,Russell Lake,20,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273257,60,Eastern Passage - Heritag,46,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273258,62,Wildwood,18,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273259,65,Caldwell,1,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273260,7,Robie,47,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273261,72,Portland Hills,18,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273262,80,Sackville,74,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273263,9A,Greystone,110,12.50,12:30pm to 12:59pm,2017-12-24 10:00:00.0000000
1273264,1,Spring Garden,143,13.00,1:00pm to 1:29pm,2017-12-24 10:00:00.0000000
1273265,18,Universities,27,13.00,1:00pm to 1:29pm,2017-12-24 10:00:00.0000000
1273266,21,Lakeside - Timberlea,8,13.00,1:00pm to 1:29pm,2017-12-24 10:00:00.0000000
1273267,22,Armdale,6,13.00,1:00pm to 1:29pm,2017-12-24 10:00:00.0000000
1273268,29,Barrington,32,13.00,1:00pm to 1:29pm,2017-12-24 10:00:00.0000000
1273269,9B,Herring Cove,74,14.00,2:00pm to 2:29pm,2017-12-26 10:00:00.0000000
